id_commande;date;heure_de_depart;pickup_lng;pickup_lat;dropoff_lng;dropoff_lat;nbPax;tstype
cmd172;01/01/2013;00:10;-74.006302;40.739437;-73.955704;40.745987;1;pickUpMinDateTime
cmd173;01/01/2013;00:10;-73.986809;40.76659;-73.99475100000001;40.75555;1;pickUpMinDateTime
cmd174;01/01/2013;00:10;-73.996712;40.715118;-74.007492;40.741013;1;pickUpMinDateTime
cmd175;01/01/2013;00:10;-73.982704;40.727222;-73.999466;40.734161;1;pickUpMinDateTime
cmd176;01/01/2013;00:10;-73.782089;40.644611;-73.982155;40.748871;2;pickUpMinDateTime
cmd177;01/01/2013;00:10;-73.997353;40.762398;-73.93453199999999;40.797371000000005;2;pickUpMinDateTime
cmd178;01/01/2013;00:10;-73.977303;40.747768;-73.957123;40.766197;3;pickUpMinDateTime
cmd179;01/01/2013;00:10;-73.987938;40.769886;-73.95134;40.785969;1;pickUpMinDateTime
cmd180;01/01/2013;00:10;-73.952843;40.7766;-73.95163000000001;40.781696000000004;1;pickUpMinDateTime
cmd181;01/01/2013;00:10;-73.96028100000001;40.766197;-73.99568199999999;40.739391;1;pickUpMinDateTime
cmd182;01/01/2013;00:10;-73.99655899999999;40.722145000000005;-73.95818299999999;40.808868;1;pickUpMinDateTime
cmd183;01/01/2013;00:10;-73.997963;40.736019;-73.954048;40.786057;1;pickUpMinDateTime
cmd184;01/01/2013;00:10;-73.995804;40.741023999999996;-73.914803;40.801479;1;pickUpMinDateTime
cmd185;01/01/2013;00:10;-73.995605;40.764713;-73.995468;40.749779;1;pickUpMinDateTime
cmd186;01/01/2013;00:10;-73.98088100000001;40.742039;-73.991394;40.747234000000006;1;pickUpMinDateTime
cmd187;01/01/2013;00:10;-73.98799100000001;40.764706;-73.987076;40.736557;1;pickUpMinDateTime
cmd188;01/01/2013;00:10;-73.982674;40.741982;-73.981812;40.75156;1;pickUpMinDateTime
cmd189;01/01/2013;00:10;-73.969505;40.769001;-73.98024000000001;40.747196;1;pickUpMinDateTime
cmd190;01/01/2013;00:10;-73.995224;40.728874;-74.000038;40.734909;1;pickUpMinDateTime
cmd191;01/01/2013;00:10;-73.98439;40.767368;-74.003555;40.741901;1;pickUpMinDateTime
